Episode	Accumulated Reward	Average Reward	Length	Steps
719	-100	-50.0	2	13747
720	-155	-2.719298245614035	57	13804
721	-100	-50.0	2	13806
722	-98	-0.48514851485148514	202	14008
723	-100	-50.0	2	14010
724	-105	-15.0	7	14017
725	-100	-50.0	2	14019
726	-100	-50.0	2	14021
727	-104	-17.333333333333332	6	14027
728	-137	-3.5128205128205128	39	14066
729	-106	-13.25	8	14074
730	-108	-10.8	10	14084
731	-115	-6.764705882352941	17	14101
732	-133	-3.8	35	14136
733	74	2.466666666666667	30	14166
734	53	1.0392156862745099	51	14217
735	166	4.256410256410256	39	14256
736	-100	-50.0	2	14258
737	-12	-0.8	15	14273
738	-143	-3.1777777777777776	45	14318
739	-100	-50.0	2	14320
740	-125	-4.62962962962963	27	14347
741	-101	-33.666666666666664	3	14350
742	-6	-0.6666666666666666	9	14359
743	-100	-50.0	2	14361
744	-205	-1.9158878504672898	107	14468
745	-104	-17.333333333333332	6	14474
746	-66	-0.9565217391304348	69	14543
747	-114	-7.125	16	14559
748	-34	-0.918918918918919	37	14596
749	-100	-50.0	2	14598
750	-102	-25.5	4	14602
751	-103	-20.6	5	14607
752	-121	-5.260869565217392	23	14630
753	-109	-9.909090909090908	11	14641
754	78	3.0	26	14667
755	-100	-50.0	2	14669
756	-128	-4.266666666666667	30	14699
757	-107	-11.88888888888889	9	14708
758	-116	-6.444444444444445	18	14726
759	-107	-11.88888888888889	9	14735
760	63	1.5365853658536586	41	14776
761	-111	-8.538461538461538	13	14789
762	-87	-0.9666666666666667	90	14879
763	-107	-11.88888888888889	9	14888
764	-21	-0.875	24	14912
765	43	0.7049180327868853	61	14973
766	-106	-13.25	8	14981
767	-37	-0.925	40	15021
768	-34	-0.918918918918919	37	15058
769	-110	-9.166666666666666	12	15070
770	-108	-10.8	10	15080
771	-100	-50.0	2	15082
772	-175	-2.272727272727273	77	15159
773	-100	-50.0	2	15161
774	-37	-0.925	40	15201
775	-57	-0.95	60	15261
776	-159	-2.6065573770491803	61	15322
777	-105	-15.0	7	15329
778	-100	-50.0	2	15331
779	-100	-50.0	2	15333
780	-120	-5.454545454545454	22	15355
781	-100	-50.0	2	15357
782	76	2.7142857142857144	28	15385
783	-115	-6.764705882352941	17	15402
784	58	1.2608695652173914	46	15448
785	-145	-3.0851063829787235	47	15495
786	-105	-15.0	7	15502
787	-102	-25.5	4	15506
788	-114	-7.125	16	15522
789	-80	-0.963855421686747	83	15605
790	-100	-50.0	2	15607
791	-22	-0.88	25	15632
792	-100	-50.0	2	15634
793	-111	-8.538461538461538	13	15647
794	-100	-50.0	2	15649
795	-111	-8.538461538461538	13	15662
796	-57	-0.95	60	15722
797	-75	-0.9615384615384616	78	15800
798	-133	-3.8	35	15835
799	-100	-50.0	2	15837
800	-100	-50.0	2	15839
801	-101	-33.666666666666664	3	15842
802	136	1.9710144927536233	69	15911
803	-102	-25.5	4	15915
804	-102	-25.5	4	15919
805	-113	-7.533333333333333	15	15934
806	-132	-3.8823529411764706	34	15968
807	-100	-50.0	2	15970
808	-116	-6.444444444444445	18	15988
809	-103	-20.6	5	15993
810	248	4.275862068965517	58	16051
811	68	0.49635036496350365	137	16188
812	68	0.49635036496350365	137	16325
813	-133	-3.8	35	16360
814	-111	-8.538461538461538	13	16373
815	-101	-0.9711538461538461	104	16477
816	-136	-3.5789473684210527	38	16515
817	-24	-0.8888888888888888	27	16542
